MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId
293299018	2000000	C324	C324.00	Hyperlipidaemia	55822004	497411018
3639851000006115	100	^ESCTLI363985		Lipid	70106000	116430015
2716221000006111	50	^ESCTHI271622		High cholesterol	13644009	3035252016
6347381000006110	10	^ESCTDY634738		Dyslipidemia	370992007	1209706018
2642990018	50000	C328	C328.00	Dyslipidaemia	370992007	2642990018
3406761000006110	20	^ESCTHY340676		Hyperlipidemia	55822004	92826017
475418015	200000	C329	C329.00	Hypercholesterolaemia	13644009	475418015
1773186016	100000	C3200	C320000	Familial hypercholesterolaemia	398036000	1773186016
666301000006115	50000	C320-1	C320.11	Familial hypercholesterolaemia	398036000	1773186016
398855017	10000	C321	C321.00	Pure hyperglyceridaemia	267433009	398855017
398856016	500000	C322	C322.00	Mixed hyperlipidaemia	267434003	398856016
398868013	400	C323	C323.00	Hyperchylomicronaemia	267435002	398868013
